# Model: Name of the sea ice forecast model
# Ensemble member: Name of the ensemble member. Only relevant for IceNet models - for SEAS5 and the linear trend model this is 'NA'. IceNet's temperature-scaled ensemble mean is labelled 'ensemble_tempscaled'. The non-temperature-scaled ensemble mean is labelled 'ensemble'
# Leadtime: Lead time of the forecast (number of months)
# Forecast date: Monthly-average target forecast date (day set to 01 by default)
# Binary accuracy: Percentage of grid cells with the correct binary prediction for SIC > 15% from the model, computed within a maximum sea ice climatology mask (%)
# SIE error: Sea ice extent (area covered by grid cells with SIC > 15%) error between model and OSI-SAF ground truth (km2)
#
Model,Ensemble member,Leadtime,Forecast date,Binary accuracy,SIE error
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2015-09-01,92.75415,-376250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2015-10-01,90.658325,-1115625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2015-11-01,94.451614,-260000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2015-12-01,96.04419,113750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2016-01-01,96.52313000000001,245625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2016-02-01,95.35638,408125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2016-03-01,95.709404,-103750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2016-04-01,96.75809,-47500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2016-05-01,95.2302,553750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2016-06-01,93.71104,-104375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2016-07-01,89.96526999999999,-586875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2016-08-01,88.878525,-928125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2016-09-01,90.84379,-488125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2016-10-01,91.89535,432500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2016-11-01,95.41417,51250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2016-12-01,96.30218,12500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2017-01-01,96.871124,-76250.0
